-0,0,0,0,0,0,0
-9.713469926e-11,0,0,0,0,0,0
-7.770773393e-10,0,0,0,0,0,0
-2.622634586e-09,0,0,0,0,0,0
-6.216610554e-09,0,0,0,0,0,0
-1.214180553e-08,0,0,0,0,0,0
-2.098101471e-08,0,0,0,0,0,0
-3.33170269e-08,0,0,0,0,0,0
-4.973262327e-08,0,0,0,0,0,0
-7.081057605e-08,0,0,0,0,0,0
-9.713364726e-08,0,0,0,0,0,0
-1.292845875e-07,0,0,0,0,0,0
-1.678461345e-07,0,0,0,0,0,0
-2.134010121e-07,0,0,0,0,0,0
-2.665319288e-07,0,0,0,0,0,0
-3.278215764e-07,0,0,0,0,0,0
-3.978526291e-07,0,0,0,0,0,0
-4.772077416e-07,0,0,0,0,0,0
-5.664695486e-07,0,0,0,0,0,0
-6.66220663e-07,0,0,0,0,0,0
-7.770436745e-07,0,0,0,0,0,0
-8.995211488e-07,0,0,0,0,0,0
-1.034235626e-06,0,0,0,0,0,0
-1.18176962e-06,0,0,0,0,0,0
-1.342705615e-06,0,0,0,0,0,0
-1.517626069e-06,0,0,0,0,0,0
-1.707113405e-06,0,0,0,0,0,0
-1.911750018e-06,0,0,0,0,0,0
-2.132118269e-06,0,0,0,0,0,0
-2.368800482e-06,0,0,0,0,0,0
-2.622378949e-06,0,0,0,0,0,0
-2.893435922e-06,0,0,0,0,0,0
-3.182553617e-06,0,0,0,0,0,0
-3.49031421e-06,0,0,0,0,0,0
-3.817299834e-06,0,0,0,0,0,0
-4.164092583e-06,0,0,0,0,0,0
-4.531274506e-06,0,0,0,0,0,0
-4.919427608e-06,0,0,0,0,0,0
-5.329133847e-06,0,0,0,0,0,0
-5.760975136e-06,0,0,0,0,0,0
-6.215533337e-06,0,0,0,0,0,0
-6.693390264e-06,0,0,0,0,0,0
-7.19512768e-06,0,0,0,0,0,0
-7.721327295e-06,0,0,0,0,0,0
-8.272570765e-06,0,0,0,0,0,0
-8.849439693e-06,0,0,0,0,0,0
-9.452515624e-06,0,0,0,0,0,0
-1.008238005e-05,0,0,0,0,0,0
-1.073961439e-05,0,0,0,0,0,0
-1.142480003e-05,0,0,0,0,0,0
-1.213851827e-05,0,0,0,0,0,0
-1.288135036e-05,0,0,0,0,0,0
-1.365387747e-05,0,0,0,0,0,0
-1.445668073e-05,0,0,0,0,0,0
-1.52903412e-05,0,0,0,0,0,0
-1.615543984e-05,0,0,0,0,0,0
-1.705255759e-05,0,0,0,0,0,0
-1.798227528e-05,0,0,0,0,0,0
-1.894517368e-05,0,0,0,0,0,0
-1.994183351e-05,0,0,0,0,0,0
-2.097283538e-05,0,0,0,0,0,0
-2.203875985e-05,0,0,0,0,0,0
-2.314018739e-05,0,0,0,0,0,0
-2.42776984e-05,0,0,0,0,0,0
-2.545187321e-05,0,0,0,0,0,0
-2.666329204e-05,0,0,0,0,0,0
-2.791253506e-05,0,0,0,0,0,0
-2.920018235e-05,0,0,0,0,0,0
-3.052681388e-05,0,0,0,0,0,0
-3.189300957e-05,0,0,0,0,0,0
-3.329934924e-05,0,0,0,0,0,0
-3.474641262e-05,0,0,0,0,0,0
-3.623477934e-05,0,0,0,0,0,0
-3.776502896e-05,0,0,0,0,0,0
-3.933774094e-05,0,0,0,0,0,0
-4.095349465e-05,0,0,0,0,0,0
-4.261286936e-05,0,0,0,0,0,0
-4.431644424e-05,0,0,0,0,0,0
-4.606479837e-05,0,0,0,0,0,0
-4.785851075e-05,0,0,0,0,0,0
-4.969816025e-05,0,0,0,0,0,0
-5.158432564e-05,0,0,0,0,0,0
-5.351758563e-05,0,0,0,0,0,0
-5.549851877e-05,0,0,0,0,0,0
-5.752770355e-05,0,0,0,0,0,0
-5.960571834e-05,0,0,0,0,0,0
-6.173314138e-05,0,0,0,0,0,0
-6.391055085e-05,0,0,0,0,0,0
-6.613852477e-05,0,0,0,0,0,0
-6.841764108e-05,0,0,0,0,0,0
-7.074847761e-05,0,0,0,0,0,0
-7.313161206e-05,0,0,0,0,0,0
-7.556762202e-05,0,0,0,0,0,0
-7.805708497e-05,0,0,0,0,0,0
-8.060057827e-05,0,0,0,0,0,0
-8.319867917e-05,0,0,0,0,0,0
-8.585196478e-05,0,0,0,0,0,0
