joint,p,opis,dir,vmax_target,q_start,D,omega,T,B,v_peak,a_peak,acc_limited,folder
4,7,V3_mid,+1,1.1,0,2.35,0.623489,10.0775,0.824175,1.0989,0.791146,0,rizon10s_gen_traj/q4/p07/v_1.10/fourier
4,7,V3_mid,-1,1.1,0,2.35,0.623489,10.0775,0.824175,1.0989,0.791146,0,rizon10s_gen_traj/q4/p07/v_1.10/fourier
4,7,V3_mid,+1,1.45,0,2.35,0.821872,7.64497,1.08641,1.44855,1.3747,0,rizon10s_gen_traj/q4/p07/v_1.45/fourier
4,7,V3_mid,-1,1.45,0,2.35,0.821872,7.64497,1.08641,1.44855,1.3747,0,rizon10s_gen_traj/q4/p07/v_1.45/fourier
4,7,V3_mid,+1,1.78,0,2.35,1.00892,6.22764,1.33367,1.77822,2.07163,0,rizon10s_gen_traj/q4/p07/v_1.78/fourier
4,7,V3_mid,-1,1.78,0,2.35,1.00892,6.22764,1.33367,1.77822,2.07163,0,rizon10s_gen_traj/q4/p07/v_1.78/fourier
4,8,V3_near_lower,+1,0.4,-2.35,4.7,0.113362,55.426,0.2997,0.3996,0.0523072,0,rizon10s_gen_traj/q4/p08/v_0.40/fourier
4,8,V3_near_lower,+1,0.75,-2.35,4.7,0.212553,29.5605,0.561937,0.74925,0.183892,0,rizon10s_gen_traj/q4/p08/v_0.75/fourier
4,8,V3_near_lower,+1,1.1,-2.35,4.7,0.311745,20.1549,0.824175,1.0989,0.395573,0,rizon10s_gen_traj/q4/p08/v_1.10/fourier
4,8,V3_near_lower,+1,1.45,-2.35,4.7,0.410936,15.2899,1.08641,1.44855,0.687349,0,rizon10s_gen_traj/q4/p08/v_1.45/fourier
4,8,V3_near_lower,+1,1.78,-2.35,4.7,0.50446,12.4553,1.33367,1.77822,1.03581,0,rizon10s_gen_traj/q4/p08/v_1.78/fourier
4,9,V3_near_upper,-1,0.4,2.35,4.7,0.113362,55.426,0.2997,0.3996,0.0523072,0,rizon10s_gen_traj/q4/p09/v_0.40/fourier
4,9,V3_near_upper,-1,0.75,2.35,4.7,0.212553,29.5605,0.561937,0.74925,0.183892,0,rizon10s_gen_traj/q4/p09/v_0.75/fourier
4,9,V3_near_upper,-1,1.1,2.35,4.7,0.311745,20.1549,0.824175,1.0989,0.395573,0,rizon10s_gen_traj/q4/p09/v_1.10/fourier
